model	part	np	log L	AIC	kappa	omega	gamma0	gamma1
H1	0.1	105	-3132.478951	6474.957902	5.356924	0.302314	0.696090	4.087565
H1	0.2	105	-3127.314752	6464.629504	5.806154	0.375669	0.384708	1.176696
H1	0.3	105	-3118.960890	6447.921780	6.431025	0.482007	0.293059	0.778168
H1	0.4	105	-3110.500908	6431.001816	6.256809	0.559136	0.227222	0.600980
H1	0.5	105	-3105.312952	6420.625904	6.106580	0.622252	0.201052	0.491854
H1	0.6	105	-3104.646085	6419.29217	6.044475	0.768980	0.200899	0.414970
H1	0.7	105	-3111.006211	6432.012422	5.409245	0.804363	0.224618	0.551457
H1	0.8	105	-3132.126843	6474.253686	5.352768	0.325434	0.827122	2.949503
H1	0.9	105	-3132.976685	6475.95337	5.359448	0.288504	0.953996	2.892026
null	0.1	104	-3139.263428	6486.526856	5.352419	0.300939	0.920289	-
null	0.2	104	-3129.963747	6467.927494	5.803193	0.374759	0.438450	-
null	0.3	104	-3126.205918	6460.411836	6.444572	0.480347	0.326905	-
null	0.4	104	-3121.174472	6450.348944	6.323706	0.560938	0.248531	-
null	0.5	104	-3110.342174	6428.684348	6.111843	0.619635	0.219690	-
null	0.6	104	-3109.448061	6426.896122	6.047790	0.765985	0.214759	-
null	0.7	104	-3120.392789	6448.785578	5.430079	0.801639	0.245006	-
null	0.8	104	-3139.277931	6486.555862	5.357660	0.322465	0.914436	-
null	0.9	104	-3141.117560	6490.23512	5.383881	0.290783	1.027437	-
