model	part	np	log L	AIC	P(c1)	P(c2)	P(c3)	P(c4)
H1	0.1	109	-3068.068509	6354.137018	0.592852	0.047511	0.336717	0.022920
H1	0.2	109	-3066.815138	6351.630276	0.589370	0.132031	0.209844	0.068756
H1	0.3	109	-3054.982310	6327.96462	0.578632	0.143800	0.204975	0.072594
H1	0.4	109	-3047.220724	6312.441448	0.597185	0.131392	0.201248	0.070175
H1	0.5	109	-3037.306359	6292.612718	0.587110	0.123803	0.224523	0.064564
H1	0.6	109	-3036.981618	6291.963236	0.554326	0.177145	0.176279	0.092250
H1	0.7	109	-3069.229829	6356.459658	0.584450	0.154879	0.160601	0.100070
H1	0.8	109	-3085.563261	6389.126522	0.551218	0.289402	0.095881	0.063499
H1	0.9	109	-3094.244898	6406.489796	0.615475	0.000168	0.000046	0.384311
null	0.1	106	-3096.402152	6404.804304	0.684475	-	0.315525	-
null	0.2	106	-3084.414654	6380.829308	0.708411	-	0.291589	-
null	0.3	106	-3083.274380	6378.54876	0.734171	-	0.265829	-
null	0.4	106	-3070.789959	6353.579918	0.700554	-	0.299446	-
null	0.5	106	-3061.180915	6334.36183	0.710012	-	0.289988	-
null	0.6	106	-3065.658989	6343.317978	0.761339	-	0.238661	-
null	0.7	106	-3085.514997	6383.029994	0.701473	-	0.298527	-
null	0.8	106	-3133.413651	6478.827302	0.686856	-	0.313144	-
null	0.9	106	-3136.889197	6485.778394	0.999900	-	0.000100	-
